EUR;;Discount Curve;;
Source;;OIS EONIA;;
Day Count;;30/360;;
Curve Shift Type;;Parallel;;
Shift Curve (bp);;0,0;;
Tenor;Date;Rate;Shifted;Discount
1D;mai 03, 2019;-0,4350;-0,4291;1,0000119
4D;mai 06, 2019;-0,4312;-0,4253;1,0000474
2W;mai 13, 2019;-0,3919;-0,3865;1,0001183
3W;mai 20, 2019;-0,3832;-0,3779;1,0001893
1M;mai 27, 2019;-0,3793;-0,3741;1,0002603
1M;juin 06, 2019;-0,3756;-0,3814;1,0003609
2M;juil 08, 2019;-0,3723;-0,3727;1,0006848
3M;ao–t 06, 2019;-0,3712;-0,3739;1,0009785
4M;sept 06, 2019;-0,3706;-0,3743;1,0012926
5M;oct 07, 2019;-0,3712;-0,3732;1,0016113
6M;nov 06, 2019;-0,3710;-0,3739;1,0019165
7M;d‚c 06, 2019;-0,3719;-0,3737;1,0022279
8M;janv 06, 2020;-0,3718;-0,3742;1,0025445
9M;f‚vr 06, 2020;-0,3728;-0,3757;1,0028691
10M;mars 06, 2020;-0,3738;-0,3737;1,0031665
11M;avr 06, 2020;-0,3738;-0,3742;1,0034846
1Y;mai 06, 2020;-0,3737;-0,3737;1,0037927
1Y3M;ao–t 06, 2020;-0,3713;-0,3719;1,0047094
1Y6M;nov 06, 2020;-0,3660;-0,3670;1,0055713
1Y7M;d‚c 07, 2020;-0,3670;-0,3676;1,0059002
1Y8M;janv 06, 2021;-0,3649;-0,3659;1,0061691
1Y9M;f‚vr 08, 2021;-0,3574;-0,3586;1,0063671
2Y;mai 06, 2021;-0,3487;-0,3487;1,0070499
3Y;mai 06, 2022;-0,2899;-0,2899;1,0087808
4Y;mai 08, 2023;-0,2207;-0,2207;1,0089124
5Y;mai 06, 2024;-0,1391;-0,1391;1,0069983
6Y;mai 06, 2025;-0,0476;-0,0476;1,0028660
7Y;mai 06, 2026;0,0483;0,0483;0,9966207
8Y;mai 06, 2027;0,1477;0,1477;0,9882435
9Y;mai 08, 2028;0,2484;0,2484;0,9778813
10Y;mai 07, 2029;0,3405;0,3405;0,9665344
11Y;mai 06, 2030;0,4291;0,4291;0,9539462
12Y;mai 06, 2031;0,5112;0,5112;0,9405912
15Y;mai 08, 2034;0,7142;0,7142;0,8986398
20Y;mai 06, 2039;0,9089;0,9088;0,8343947
25Y;mai 06, 2044;0,9855;0,9855;0,7824804
30Y;mai 06, 2049;1,0069;1,0069;0,7403308
40Y;mai 06, 2059;1,0030;1,0030;0,6707888
50Y;mai 06, 2069;0,9825;0,9825;0,6132670
