0.00277778,-0.004141
0.00555556,-0.004316
0.0194444,-0.003793
0.0388889,-0.003728
0.0583333,-0.003702
0.0833333,-0.00378
0.166667,-0.003715
0.25,-0.003729
0.333333,-0.003736
0.416667,-0.003727
0.5,-0.003734
0.583333,-0.003732
0.666667,-0.003749
0.75,-0.003764
0.833333,-0.003754
0.916667,-0.00376
1,-0.003765
1.25,-0.003766
1.5,-0.003729
1.58333,-0.003745
1.66667,-0.003728
1.75,-0.00366
2,-0.003544
3,-0.003006
4,-0.002309
5,-0.001469
6,-0.000554
7,0.000405
8,0.001436
9,0.002421
10,0.003356
11,0.004255
12,0.005086
15,0.007113
20,0.009085
25,0.00985
30,0.010063
40,0.010023
50,0.009817
